name,gender,age,class,embarked,country,fare,survived
"Andersson, Mrs. Alfrida Konstantia Brogren",female,39,3rd,S,Sweden,31.0506,no
"Andreasson, Mr. Pål Edvin",male,20,3rd,S,Sweden,7.1701,no
"Andrew, Mr. Edgar Samuel",male,17,2nd,S,Argentina,11.1,no
"Andrew, Mr. Frank Thomas",male,27,2nd,S,England,10.1,no
"Andrews, Miss. Kornelia Theodosia",female,62,1st,C,United States,77.1902,yes
"Andrews, Mr. Thomas",male,39,1st,B,Northern Ireland,NA,no
"Angheloff, Mr. Minko",male,26,3rd,S,Bulgaria,7.1711,no
"Angle, Mrs. Florence Agnes",female,36,2nd,S,England,26,yes
"Angle, Mr. William",male,31,2nd,S,England,26,no
"Appleton, Mrs. Charlotte",female,53,1st,S,United States,51.0907,yes
"Arnold-Franchi, Mr. Josef",male,25,3rd,S,Switzerland,17.16,no
"Arnold-Franchi, Mrs. Josefine",female,18,3rd,S,Switzerland,17.16,no
"Aronsson, Mr. Ernst Axel Algot",male,25,3rd,S,Sweden,7.1506,no
"Artagaveytia, Mr. Ramon",male,71,1st,C,Argentina,49.1001,no
"Ashby, Mr. John",male,57,2nd,S,England,13,no
"Asim, Mr. Adola",male,35,3rd,S,Argentina,7.01,no
"Asplund, Master. Carl Edgar",male,5,3rd,S,Sweden,31.0709,no
"Asplund, Master. Clarence Gustaf Hugo",male,9,3rd,S,Sweden,31.0709,no
"Asplund, Master. Edvin Rojj Felix",male,3,3rd,S,Sweden,31.0709,yes
"Asplund, Master. Filip Oscar",male,13,3rd,S,Sweden,31.0709,no
"Asplund, Miss. Lillian Gertrud",female,5,3rd,S,Sweden,31.0709,yes
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",male,40,3rd,S,Sweden,31.0709,no
"Asplund, Mr. Johan Charles",male,23,3rd,S,Sweden,7.1511,yes
"Asplund, Mrs. Selma Augusta Emilia",female,38,3rd,S,Sweden,31.0709,yes
"Assaf, Mrs. Mariana",female,45,3rd,C,Lebanon,7.0406,yes
"Assam, Mr. Ali",male,23,3rd,S,Argentina,7.01,no
"Astor, Colonel. John Jacob",male,47,1st,C,United States,247.1006,no
"Astor, Mrs. Madeleine Talmage",female,18,1st,C,United States,247.1006,yes
"Attalah, Miss. Malake",female,17,3rd,C,Lebanon,14.0902,no
"Attala, Mr. Sleiman",male,27,3rd,C,Canada,7.0406,no
"Aubart, Mme. Léontine Pauline",female,24,1st,C,France,69.06,yes
"Augustsson, Mr. Albert",male,23,3rd,S,Sweden,7.1701,no
"Ayoub Daher, Miss. Banoura",female,15,3rd,C,Lebanon,7.0407,yes
"Backström, Mr. Karl Alfred",male,32,3rd,S,Finland,15.17,no
"Backström, Mrs. Maria Mathilda",female,33,3rd,S,Finland,15.17,yes
"Baclini, Miss. Eugenie",female,3,3rd,C,Lebanon,19.0502,yes
"Baclini, Miss. Helene Barbara",female,0.75,3rd,C,Lebanon,19.0502,yes
"Baclini, Miss. Marie Catherine",female,5,3rd,C,Lebanon,19.0502,yes
"Baclini, Mrs. Latifa",female,23,3rd,C,Lebanon,19.0502,yes
"Badman, Miss. Emily Louisa",female,18,3rd,S,England,8.01,yes
"Badt, Mr. Mohamed",male,40,3rd,C,Lebanon,7.0406,no
"Bailey, Mr. Percy",male,18,2nd,S,England,11.1,no
"Bainbrigge, Mr. Charles Robert",male,22,2nd,S,Channel Islands,10.1,no
"Balkic, Mr. Cerin",male,26,3rd,S,Bosnia,7.1711,no
"Balls, Mrs. Ada E.",female,36,2nd,S,England,13,yes
"Banfield, Mr. Frederick James",male,28,2nd,S,England,10.1,no
"Banski, Mrs. Mara",female,31,3rd,S,Hungary,8.1308,yes
"Barbara, Miss. Saiide",female,18,3rd,C,Lebanon,14.0901,no
"Barbara, Mrs. Catherine David",female,45,3rd,C,Lebanon,14.0901,no
"Barber, Miss. Ellen Mary",female,27,1st,S,NA,78.17,yes
"Barkworth, Mr. Algernon Henry",male,47,1st,S,England,30,yes
"Barry, Miss. Julia",female,30,3rd,Q,Ireland,7.1707,no
"Barton, Mr. David John",male,22,3rd,S,England,8.01,no
"Bassani, Mrs. Albina",female,32,1st,C,Italy,76.051,yes
"Bateman, Revd. Robert James",male,52,2nd,S,England,12.1006,no
"Batoshev, Mr. Hristo Lalev",male,23,3rd,S,Bulgaria,7.1711,no
"Baumann, Mr. John D.",male,60,1st,C,United States,25.1806,no
"Baxter, Mr. Quigg Edmond",male,24,1st,C,Canada,247.1005,no
"Baxter, Mrs. Hélène",female,50,1st,C,Canada,247.1005,yes
"Beane, Mr. Edward",male,32,2nd,S,England,26,yes
"Beane, Mrs. Ethel",female,22,2nd,S,England,26,yes
"Beattie, Mr. Thomson",male,36,1st,S,Canada,75.041,no
"Beauchamp, Mr. Henry James",male,44,2nd,S,England,26,no
"Beavan, Mr. William Thomas",male,20,3rd,S,England,8.01,no
"Becker, Master. Richard F.",male,1,2nd,S,India,39,yes
"Becker, Miss. Marion Louise",female,4,2nd,S,India,39,yes
"Becker, Miss. Ruth Elizabeth",female,12,2nd,S,India,39,yes
"Becker, Mrs. Nellie E.",female,35,2nd,S,United States,39,yes
"Beckwith, Mr. Richard Leonard",male,37,1st,S,United States,52.1101,yes
"Beckwith, Mrs. Sallie",female,46,1st,S,United States,52.1101,yes
"Beesley, Mr. Lawrence",male,34,2nd,S,England,13,yes
"Behr, Mr. Karl Howell",male,26,1st,C,United States,30,yes
"Bengtsson, Mr. Johan Viktor",male,26,3rd,S,Sweden,7.1506,no
"Bentham, Miss. Lillian W.",female,19,2nd,S,United States,13,yes
"Berglund, Mr. Karl Ivar Sven",male,22,3rd,S,Finland,9.07,no
"Berriman, Mr. William John",male,23,2nd,S,England,13,no
"Bessette, Miss. Nellie Mayo",female,39,1st,C,United States,63.0702,yes
"Bidois, Miss. Rosalie",female,46,1st,C,NA,247.1006,yes
"Bing, Mr. Lee",male,32,3rd,S,NA,56.0911,yes
"Bird, Miss. Ellen",female,31,1st,S,England,221.1507,yes
"Birkeland, Mr. Hans Martin Monsen",male,21,3rd,S,Norway,7.1506,no
"Birnbaum, Mr. Jakob",male,24,1st,C,NA,26,no
"Bishop, Mr. Dickinson H.",male,25,1st,C,United States,91.0107,yes
"Bishop, Mrs. Helen",female,19,1st,C,United States,91.0107,yes
"Björklund, Mr. Ernst Herbert",male,18,3rd,S,Sweden,7.15,no
"Björnström-Steffansson, Mr. Mauritz Hokan",male,28,1st,S,Sweden,26.11,yes
"Blackwell, Mr. Stephen Weart",male,45,1st,S,United States,35.1,no
"Blank, Mr. Henry",male,39,1st,C,United States,31,yes
"Bonnell, Miss. Caroline",female,30,1st,S,United States,164.1704,yes
"Bonnell, Miss. Elizabeth",female,61,1st,S,England,26.11,yes
"Borebank, Mr. John James",male,41,1st,S,England,26.11,no
"Bostandyeff, Mr. Guentcho",male,26,3rd,S,NA,7.1711,no
"Botsford, Mr. William Hull",male,25,2nd,S,United States,13,no
"Bourke, Miss. Mary",female,40,3rd,Q,Ireland,7.15,no
"Bourke, Mr. John",male,42,3rd,Q,Ireland,15.1,no
"Bourke, Mrs. Catherine",female,32,3rd,Q,Ireland,15.1,no
"Bowen, Miss. Grace Scott",female,45,1st,C,United States,262.0706,yes
"Bowen, Mr. David John 'Dai'",male,26,3rd,S,Wales,16.02,no
"Bowenur, Mr. Solomon",male,42,2nd,S,NA,13,no
"Bowerman, Miss. Elsie Edith",female,22,1st,S,England,55,yes
"Bracken, Mr. James Hollen",male,30,2nd,S,United States,13,no
"Bradley, Miss. Bridget Delia",female,22,3rd,Q,Ireland,7.1406,yes
"Brady, Mr. John Bertram",male,41,1st,S,United States,30.1,no
"Braf, Miss. Elin Ester Maria",female,20,3rd,S,Sweden,7.1701,no
"Brailey, Mr. William Theodore Ronald",male,24,2nd,S,England,NA,no
"Brandeis, Mr. Emil Franklin",male,48,1st,C,United States,50.0911,no
"Braund, Mr. Lewis Richard",male,29,3rd,S,England,7,no
"Braund, Mr. Owen Harris",male,23,3rd,S,England,7.05,no
"Brereton, Mr. George Andrew",male,37,1st,S,United States,26.11,yes
"Brewe, Dr. Arthur Jackson",male,46,1st,C,United States,39.12,no
"Bricoux, Mr. Roger Marie",male,20,2nd,S,France,NA,no
"Brito, Mr. José Joaquim de",male,32,2nd,S,NA,13,no
"Brobäck, Mr. Karl Rudolf",male,22,3rd,S,Sweden,7.1511,no
"Brocklebank, Mr. William Alfred",male,40,3rd,S,England,8.01,no
"Brown, Miss. Amelia Mary",female,18,2nd,S,England,13,yes
"Brown, Miss. Edith Eileen",female,15,2nd,S,South Africa,39,yes
"Brown, Mrs. Caroline Lane",female,59,1st,S,United States,51.0907,yes
"Brown, Mrs. Elizabeth Catherine",female,40,2nd,S,South Africa,39,yes
"Brown, Mrs. Margaret",female,44,1st,C,United States,27.1405,yes
"Brown, Mr. Thomas William Solomon",male,60,2nd,S,South Africa,39,no
"Bryhl, Miss. Dagmar Jenny Ingeborg",female,20,2nd,S,Sweden,26,yes
"Bryhl, Mr. Kurt Arnold Gottfrid",male,25,2nd,S,Sweden,26,no
"Buckley, Miss. Katherine",female,22,3rd,Q,Ireland,7.0508,no
"Buckley, Mr. Daniel",male,21,3rd,Q,Ireland,7.1517,yes
"Bucknell, Mrs. Emma Eliza",female,58,1st,C,India,76.051,yes
"Būlus, Master. Akar",male,7,3rd,C,Lebanon,15.0411,no
"Būlus, Miss. Nūr al-'ayn",female,10,3rd,C,Lebanon,15.0411,no
"Būlus, Mrs. Sultānah",female,40,3rd,C,Lebanon,15.0411,no
"Burke, Mr. Jeremiah",male,19,3rd,Q,Ireland,6.15,no
"Burns, Miss. Elizabeth Margaret",female,41,1st,C,NA,134.1,yes
"Burns, Miss. Mary Delia",female,17,3rd,Q,Ireland,7.1707,no
"Buss, Miss. Kate",female,36,2nd,S,England,13,yes
"Butler, Mr. Reginald Fenton",male,26,2nd,S,England,13,no
"Butrus-Ka'wī, Mr. Tannūs",male,21,3rd,C,Lebanon,7.0407,no
"Butt, Major. Archibald Willingham",male,46,1st,S,United States,26.11,no
"Byles, Fr. Thomas Roussel Davids",male,42,2nd,S,England,13,no
"Byström, Mrs. Karolina",female,40,2nd,S,United States,13,yes
"Cacic, Miss. Manda",female,21,3rd,S,Croatia (Modern),8.1303,no
"Cacic, Miss. Marija",female,30,3rd,S,Croatia (Modern),8.1303,no
"Cacic, Mr. Jego Grga",male,18,3rd,S,Croatia (Modern),8.1303,no
"Cacic, Mr. Luka",male,38,3rd,S,Croatia (Modern),8.1303,no
"Cairns, Mr. Alexander Milne",male,28,1st,S,Scotland,31,no
"Calderhead, Mr. Edward Pennington",male,42,1st,S,United States,26.0509,yes
"Caldwell, Master. Alden Gates",male,0.8333333333,2nd,S,Siam,29,yes
"Caldwell, Mr. Albert Francis",male,26,2nd,S,Siam,29,yes
"Caldwell, Mrs. Sylvia Mae",female,28,2nd,S,United States,29,yes
"Calic, Mr. Jovo",male,17,3rd,S,Croatia (Modern),8.1303,no
"Calic, Mr. Petar",male,17,3rd,S,Croatia (Modern),8.1303,no
"Cameron, Miss. Clear Annie",female,35,2nd,S,England,21,yes
"Campbell, Mr. William Henry",male,21,2nd,B,Northern Ireland,NA,no
"Canavan, Miss. Mary",female,22,3rd,Q,Ireland,7.15,no
"Canavan, Mr. Patrick",male,21,3rd,Q,Ireland,7.15,no
"Candee, Mrs. Helen Churchill",female,52,1st,C,United States,27.0811,yes
"Cann, Mr. Ernest",male,29,3rd,S,England,8.01,no
"Caram, Mr. Joseph",male,28,3rd,C,Canada,14.0902,no
"Caram, Mrs. Maria Elias",female,18,3rd,C,Lebanon,14.0902,no
"Carbines, Mr. William",male,19,2nd,S,England,13,no
"Cardeza, Mrs. Charlotte Wardle",female,58,1st,C,United States,512.0607,yes
"Cardeza, Mr. Thomas Drake Martinez",male,36,1st,C,United States,512.0607,yes
"Carlsson, Mr. August Sigfrid",male,28,3rd,S,Sweden,7.1511,no
"Carlsson, Mr. Carl Robert",male,24,3rd,S,Sweden,7.1701,no
"Carlsson, Mr. Frans Olof",male,33,1st,S,United States,5,no
"Carraú-Esteves, Mr. José Pedro",male,17,1st,S,Uruguay,47.02,no
"Carrau, Mr. Francisco Mauro Severiano",male,27,1st,S,Uruguay,47.02,no
"Carr, Miss. Jane",female,45,3rd,Q,Ireland,7.15,no
"Carter, Fr. Ernest Courtenay",male,54,2nd,S,England,26,no
"Carter, Master. William Thornton II",male,11,1st,S,United States,120,yes
"Carter, Miss. Lucile Polk",female,13,1st,S,United States,120,yes
"Carter, Mrs. Lilian",female,45,2nd,S,England,26,no
"Carter, Mrs. Lucile",female,36,1st,S,United States,120,yes
"Carter, Mr. William Ernest",male,36,1st,S,United States,120,yes
"Carver, Mr. Alfred John",male,28,3rd,S,England,7.05,no
"Case, Mr. Howard Brown",male,49,1st,S,United States,26,no
"Cassebeer, Mrs. Eleanor Genevieve",female,36,1st,C,United States,27.1405,yes
"Cavendish, Mrs. Julia Florence",female,25,1st,S,United States,78.17,yes
"Cavendish, Mr. Tyrell William",male,36,1st,S,England,78.17,no
"Celotti, Mr. Francesco",male,24,3rd,S,NA,8.01,no
"Chaffee, Mr. Herbert Fuller",male,46,1st,S,United States,61.0306,no
"Chaffee, Mrs. Carrie Constance",female,47,1st,S,United States,61.0306,yes
"Chambers, Mr. Norman Campbell",male,27,1st,S,United States,53.02,yes
"Chambers, Mrs. Bertha",female,32,1st,S,United States,53.02,yes
"Chapman, Mr. Charles Henry",male,52,2nd,S,United States,13.1,no
"Chapman, Mr. John Henry",male,37,2nd,S,England,26,no
"Chapman, Mrs. Sara Elizabeth",female,29,2nd,S,England,26,no
"Charters, Mr. David",male,20,3rd,Q,Ireland,7.1408,no
"Chaudanson, Miss. Victorine",female,36,1st,C,NA,262.0706,yes
"Cherry, Miss. Gladys",female,30,1st,S,England,86.1,yes
"Chevré, Mr. Paul Romaine Marie Léonce",male,45,1st,C,Belgium,29.14,yes
"Chibnall, Mrs. Edith Martha Bowerman",female,48,1st,S,England,55,yes
"Chip, Mr. Chang",male,32,3rd,S,NA,56.0911,yes
"Chisholm, Mr. Roderick Robert Crispin",male,43,1st,B,Scotland,NA,no
"Christmann, Mr. Emil",male,29,3rd,S,England,8.01,no
"Christy, Miss. Rachel Juli Cohen",female,25,2nd,S,England,30,yes
"Christy, Mrs. Alice Frances",female,52,2nd,S,England,30,yes
"Chronopoulos, Mr. Apostolos M.",male,26,3rd,C,NA,14.0901,no
"Chronopoulos, Mr. Dimitrios M.",male,21,3rd,C,NA,14.0901,no
"Clarke, Mr. Charles Valentine",male,29,2nd,S,England,26,no
"Clarke, Mr. John Frederick Preston",male,28,2nd,S,England,NA,no
"Clarke, Mrs. Ada Maria",female,28,2nd,S,England,27,yes
"Clark, Mrs. Virginia Estelle",female,26,1st,C,United States,136.1507,yes
"Clark, Mr. Walter Miller",male,27,1st,C,United States,136.1507,no
"Cleaver, Miss. Alice Catherine",female,22,1st,S,England,151.16,yes
"Clifford, Mr. George Quincy",male,40,1st,S,United States,52,no
"Coelho, Mr. Domingos Fernandeo",male,20,3rd,S,NA,7.01,no
"Cohen, Mr. Gurshon",male,18,3rd,S,England,8.01,yes
"Colbert, Mr. Patrick",male,24,3rd,Q,Ireland,7.05,no
"Coleff, Mr. Satio",male,24,3rd,S,Bulgaria,7.1711,no
"Coleridge, Mr. Reginald Charles",male,29,2nd,S,England,10.1,no
"Collander, Mr. Erik Gustaf",male,27,2nd,S,Finland,13,no
"Collett, Mr. Sidney Clarence Stuart",male,25,2nd,S,England,10.1,yes
"Colley, Mr. Edward Pomeroy",male,37,1st,S,Ireland,25.1109,no
"Collyer, Miss. Marjorie Lottie",female,8,2nd,S,England,26.05,yes
"Collyer, Mr. Harvey",male,31,2nd,S,England,26.05,no
"Collyer, Mrs. Charlotte Caroline",female,30,2nd,S,England,26.05,yes
"Coltcheff, Mr. Peju",male,36,3rd,S,Bulgaria,7.1711,no
"Compton, Miss. Sara Rebecca",female,39,1st,C,United States,83.0302,yes
"Compton, Mr. Alexander Taylor jr",male,37,1st,C,United States,83.0302,no
"Compton, Mrs. Mary Eliza",female,64,1st,C,United States,83.0302,yes
"Conlin, Mr. Thomas Henry",male,31,3rd,Q,United States,7.1408,no
"Connaughton, Mr. Michael",male,40,3rd,Q,Ireland,7.15,no
"Connolly, Miss. Catherine",female,23,3rd,Q,Ireland,7.15,yes
"Connolly, Miss. Kate",female,41,3rd,Q,Ireland,7.1207,no
"Connors, Mr. Patrick",male,66,3rd,Q,Ireland,7.15,no
"Cook, Mr. Jacob",male,43,3rd,S,NA,8.01,no
"Cook, Mrs. Selena",female,22,2nd,S,England,10.1,yes
"Corbett, Mrs. Irene",female,30,2nd,S,United States,13,no
"Corey, Mrs. Mary Emma",female,32,2nd,S,NA,21,no
"Cor, Mr. Bartol",male,35,3rd,S,Croatia (Modern),7.1711,no
"Cor, Mr. Ivan",male,27,3rd,S,Hungary,7.1711,no
"Cor, Mr. Liudevit",male,19,3rd,S,Hungary,7.1711,no
"Cornblatt, Mr. Harris",male,30,3rd,S,Poland,8.01,no
"Cornell, Mrs. Malvina Helen",female,55,1st,S,United States,25.141,yes
"Corr, Miss. Ellen",female,16,3rd,Q,Ireland,7.15,yes
"Cotterill, Mr. Henry",male,21,2nd,S,England,11.1,no
"Coutts, Master. Neville Leslie",male,3,3rd,S,England,15.18,yes
"Coutts, Master. William Loch",male,9,3rd,S,England,15.18,yes
"Coutts, Mrs. Winnie",female,36,3rd,S,England,15.18,yes
"Coxon, Mr. Daniel",male,58,3rd,S,England,7.05,no
"Crafton, Mr. John Bertram",male,59,1st,S,United States,26.11,no
"Crease, Mr. Ernest James",male,20,3rd,S,United States,8.0302,no
"Cribb, Miss. Laura Mae",female,16,3rd,S,United States,16.02,yes
"Cribb, Mr. John Hatfield",male,43,3rd,S,Australia,16.02,no
"Crosby, Captain. Edward Gifford",male,70,1st,S,United States,71,no
"Crosby, Miss. Harriette Rebecca",female,39,1st,S,United States,26.11,yes
"Crosby, Mrs. Catherine Elizabeth",female,64,1st,S,United States,71,yes
"Culumovic, Mr. Jeso",male,17,3rd,S,Croatia (Modern),8.1303,no
"Cumings, Mr. John Bradley",male,39,1st,C,United States,71.0508,no
"Cumings, Mrs. Florence Briggs",female,35,1st,C,Peru,71.0508,yes
"Cunningham, Mr. Alfred Fleming",male,22,2nd,B,Northern Ireland,NA,no
"Daher, Mr. Tannous",male,28,3rd,C,NA,7.0407,no
"Dahlberg, Miss. Gerda Ulrika",female,22,3rd,S,Sweden,10.1004,no
"Dahl, Mr. Charles Edward",male,45,3rd,S,NA,8.01,yes
"Dakic, Mr. Branko",male,19,3rd,S,NA,10.0305,no
"Daly, Miss. Margaret Marcella",female,33,3rd,Q,Ireland,6.19,yes
"Daly, Mr. Eugene Patrick",male,29,3rd,Q,Ireland,7.15,yes
"Daly, Mr. Peter Dennis",male,51,1st,S,England,26.11,yes
"Danbom, Master. Gilbert Sigvard Emanuel",male,0.3333333333,3rd,S,Sweden,14.08,no
"Danbom, Mr. Ernst Gilbert",male,34,3rd,S,Sweden,14.08,no
"Danbom, Mrs. Anna Sigrid Maria",female,28,3rd,S,Sweden,14.08,no
"Daniel, Mr. Robert Williams",male,27,1st,S,United States,30.1,yes
"Daniels, Miss. Sarah Rebecca",female,36,1st,S,England,151.16,yes
"Danoff, Mr. Yoto",male,27,3rd,S,NA,7.1711,no
"Davidson, Mrs. Orian",female,27,1st,C,Canada,52,yes
"Davidson, Mr. Thornton",male,31,1st,C,Canada,52,no
"Davies, Master. John Morgan jr",male,8,2nd,S,England,36.15,yes
"Davies, Mr. Alfred James",male,24,3rd,S,England,24.03,no
"Davies, Mr. Charles Henry",male,19,2nd,S,England,73.1,no
"Davies, Mr. Evan Lewis",male,22,3rd,S,Wales,8.01,no
"Davies, Mr. John",male,22,3rd,S,England,24.03,no
"Davies, Mr. Joseph",male,17,3rd,S,England,8.01,no
"Davies, Mrs. Agnes",female,48,2nd,S,England,36.15,yes
"Davis, Miss. Mary Ann Charlotte",female,28,2nd,S,England,13,yes
"Davison, Mrs. Mary Elizabeth",female,34,3rd,S,England,16.02,yes
"Davison, Mr. Thomas Henry",male,32,3rd,S,England,16.02,no
"Deacon, Mr. Percy William",male,18,2nd,S,England,73.1,no
"Dean, Master. Bertram Vere",male,1,3rd,S,England,20.1106,yes
"Dean, Miss. Elizabeth Gladys 'Millvina'",female,0.1666666667,3rd,S,England,20.1106,yes
"Dean, Mr. Bertram Frank",male,25,3rd,S,England,20.1106,no
"Dean, Mrs. Eva Georgetta",female,32,3rd,S,England,20.1106,yes
"Delalic, Mr. Redjo",male,25,3rd,S,Bosnia,7.1711,no
"Del Carlo, Mrs. Argene",female,24,2nd,C,Italy,27.1405,yes
"Del Carlo, Mr. Sebastiano",male,29,2nd,C,Italy,27.1405,no
"De Messemaeker, Mr. Guillaume Joseph",male,36,3rd,S,United States,17.08,yes
"De Messemaeker, Mrs. Anna",female,36,3rd,S,United States,17.08,yes
"De Mulder, Mr. Theodoor",male,30,3rd,S,Belgium,9.1,yes
"Denbuoy, Mr. Albert Joseph",male,25,2nd,S,Channel Islands,31.1,no
"Denkoff, Mr. Mitto",male,30,3rd,S,NA,7.1711,no
"Dennis, Mr. Samuel",male,22,3rd,S,England,7.05,no
"Dennis, Mr. William",male,26,3rd,S,England,7.05,no
"De Pelsmaeker, Mr. Alfons",male,16,3rd,S,Belgium,9.1,no
"Devaney, Miss. Margaret Delia",female,19,3rd,Q,Ireland,7.1707,yes
"Dibden, Mr. William",male,18,2nd,S,England,73.1,no
"Dick, Mr. Albert Adrian",male,31,1st,S,Canada,57,yes
"Dick, Mrs. Vera",female,17,1st,S,United States,57,yes
"Dika, Mr. Mirko",male,17,3rd,S,Croatia (Modern),7.1711,no
"Dimic, Mr. Jovan",male,42,3rd,S,Hungary,8.1303,no
"Dintcheff, Mr. Valtcho",male,43,3rd,S,NA,7.1711,no
"Dodge, Dr. Washington",male,52,1st,S,United States,81.1702,yes
"Dodge, Master. Washington",male,4,1st,S,United States,81.1702,yes
"Dodge, Mrs. Ruth",female,34,1st,S,United States,81.1702,yes
"Doling, Miss. Elsie",female,18,2nd,S,England,23,yes
"Doling, Mrs. Ada Julia Elizabeth",female,34,2nd,S,England,23,yes
"Donohoe, Miss. Bridget",female,21,3rd,Q,Ireland,7.15,no
"Dooly, Mr. Patrick",male,37,3rd,Q,Ireland,7.15,no
"Dorking, Mr. Edward Arthur",male,18,3rd,S,England,8.01,yes
"Dougherty, Mr. William John",male,22,3rd,Q,Ireland,8.0902,no
"Douglas, Mrs. Mahala",female,48,1st,C,United States,106.0806,yes
"Douglas, Mrs. Mary Hélène",female,27,1st,C,Canada,247.1005,yes
"Douglas, Mr. Walter Donald",male,50,1st,C,United States,106.0806,no
"Douton, Mr. William Joseph",male,55,2nd,S,England,26,no
"Dowdell, Miss. Elizabeth",female,31,3rd,S,United States,12.0906,yes
"Doyle, Miss. Elizabeth",female,28,3rd,Q,Ireland,7.15,no
"Drazenovic, Mr. Jozef",male,33,3rd,C,Croatia (Modern),7.1711,no
"Drew, Master. Marshall Brines",male,8,2nd,S,United States,32.1,yes
"Drew, Mr. James Vivian",male,42,2nd,S,England,32.1,no
"Drew, Mrs. Maria Louisa Thorne",female,34,2nd,S,United States,32.1,yes
"Driscoll, Miss. Bridget",female,27,3rd,Q,Ireland,7.15,yes
"Dropkin, Miss. Jennie",female,24,3rd,S,England,8.01,yes
"Duff Gordon, Lucy Christiana, Lady",female,48,1st,C,England,56.1807,yes
"Duff Gordon, Sir. Cosmo Edmund",male,49,1st,C,England,39.12,yes
"Dulles, Mr. William Crothers",male,39,1st,C,United States,29.14,no
"Duquemin, Mr. Joseph Pierre",male,24,3rd,S,Channel Islands,7.11,yes
"Durán i Moné, Sra. Asuncion",female,27,2nd,C,Spain,13.1702,yes
"Durán i Moné, Sra. Florentina",female,30,2nd,C,Spain,13.1702,yes
"Dwan, Mr. Frank",male,65,3rd,Q,Ireland,7.15,no
"Dyker, Mr. Adolf Fredrik",male,23,3rd,S,United States,13.18,no
"Dyker, Mrs. Anna Elisabeth Judith",female,22,3rd,S,United States,13.18,yes
"Earnshaw, Mrs. Olive",female,23,1st,C,United States,83.0302,yes
"Edvardsson, Mr. Gustaf Hjalmar",male,18,3rd,S,Sweden,7.1506,no
"Eitemiller, Mr. George Floyd",male,25,2nd,S,United States,13,no
"Eklund, Mr. Hans Linus",male,16,3rd,S,Sweden,7.1506,no
"Ekström, Mr. Amandus",male,45,3rd,S,Sweden,6.1906,no
